URL,url_length,num_digits,num_special_chars,num_subdomains,uses_https,is_phishing
https://reset-free-money.xyz/2858,33,4,7,0,1,1
https://update-free-money.xyz/1199,34,4,7,0,1,1
https://secure-secure-login.com/5472,36,4,7,0,1,1
https://update-bank-verification.net/6017,41,4,7,0,1,1
https://reset-free-money.xyz/1351,33,4,7,0,1,1
https://secure-secure-login.com/4097,36,4,7,0,1,1
https://reset-free-money.xyz/9813,33,4,7,0,1,1
https://reset-free-money.xyz/9045,33,4,7,0,1,1
https://reset-bank-verification.net/9775,40,4,7,0,1,1
https://login-secure-login.com/2358,35,4,7,0,1,1
https://login-free-money.xyz/7601,33,4,7,0,1,1
https://update-free-money.xyz/7020,34,4,7,0,1,1
https://verify-bank-verification.net/4437,41,4,7,0,1,1
https://update-update-your-account.com/4786,43,4,8,0,1,1
https://reset-update-your-account.com/6330,42,4,8,0,1,1
https://login-update-your-account.com/6095,42,4,8,0,1,1
https://secure-win-prize.info/2737,34,4,7,0,1,1
https://reset-free-money.xyz/4662,33,4,7,0,1,1
https://update-free-money.xyz/5028,34,4,7,0,1,1
https://secure-update-your-account.com/9036,43,4,8,0,1,1
https://verify-win-prize.info/8165,34,4,7,0,1,1
https://secure-bank-verification.net/4466,41,4,7,0,1,1
https://verify-win-prize.info/9437,34,4,7,0,1,1
https://login-update-your-account.com/1507,42,4,8,0,1,1
https://verify-bank-verification.net/3864,41,4,7,0,1,1
https://reset-bank-verification.net/5384,40,4,7,0,1,1
https://verify-update-your-account.com/5313,43,4,8,0,1,1
https://reset-bank-verification.net/1719,40,4,7,0,1,1
https://verify-free-money.xyz/5015,34,4,7,0,1,1
https://update-bank-verification.net/9286,41,4,7,0,1,1
https://update-win-prize.info/6947,34,4,7,0,1,1
https://update-free-money.xyz/3540,34,4,7,0,1,1
https://reset-free-money.xyz/3828,33,4,7,0,1,1
https://reset-bank-verification.net/9901,40,4,7,0,1,1
https://reset-win-prize.info/4526,33,4,7,0,1,1
https://verify-free-money.xyz/4435,34,4,7,0,1,1
https://secure-update-your-account.com/8608,43,4,8,0,1,1
https://login-secure-login.com/3960,35,4,7,0,1,1
https://secure-bank-verification.net/5881,41,4,7,0,1,1
https://reset-free-money.xyz/9151,33,4,7,0,1,1
https://reset-win-prize.info/5071,33,4,7,0,1,1
https://verify-secure-login.com/5629,36,4,7,0,1,1
https://update-free-money.xyz/5048,34,4,7,0,1,1
https://verify-bank-verification.net/4706,41,4,7,0,1,1
https://secure-update-your-account.com/4276,43,4,8,0,1,1
https://reset-update-your-account.com/7023,42,4,8,0,1,1
https://update-free-money.xyz/6820,34,4,7,0,1,1
https://verify-bank-verification.net/9845,41,4,7,0,1,1
https://reset-bank-verification.net/5536,40,4,7,0,1,1
https://secure-update-your-account.com/2215,43,4,8,0,1,1
https://reset-update-your-account.com/5180,42,4,8,0,1,1
https://secure-win-prize.info/2965,34,4,7,0,1,1
https://update-secure-login.com/7513,36,4,7,0,1,1
https://reset-bank-verification.net/5622,40,4,7,0,1,1
https://login-win-prize.info/3168,33,4,7,0,1,1
https://secure-win-prize.info/8164,34,4,7,0,1,1
https://reset-free-money.xyz/3492,33,4,7,0,1,1
https://login-secure-login.com/2794,35,4,7,0,1,1
https://update-secure-login.com/7778,36,4,7,0,1,1
https://verify-bank-verification.net/9568,41,4,7,0,1,1
https://login-secure-login.com/7019,35,4,7,0,1,1
https://reset-update-your-account.com/3188,42,4,8,0,1,1
https://update-update-your-account.com/2539,43,4,8,0,1,1
https://secure-free-money.xyz/6499,34,4,7,0,1,1
https://reset-bank-verification.net/9030,40,4,7,0,1,1
https://reset-bank-verification.net/5653,40,4,7,0,1,1
https://update-bank-verification.net/2928,41,4,7,0,1,1
https://secure-update-your-account.com/7533,43,4,8,0,1,1
https://update-secure-login.com/3136,36,4,7,0,1,1
https://reset-free-money.xyz/2881,33,4,7,0,1,1
https://login-secure-login.com/9354,35,4,7,0,1,1
https://verify-bank-verification.net/8149,41,4,7,0,1,1
https://login-update-your-account.com/7210,42,4,8,0,1,1
https://login-secure-login.com/3230,35,4,7,0,1,1
https://verify-secure-login.com/9287,36,4,7,0,1,1
https://verify-bank-verification.net/2060,41,4,7,0,1,1
https://secure-update-your-account.com/9994,43,4,8,0,1,1
https://reset-update-your-account.com/6525,42,4,8,0,1,1
https://update-bank-verification.net/5369,41,4,7,0,1,1
https://secure-secure-login.com/9294,36,4,7,0,1,1
https://verify-secure-login.com/8596,36,4,7,0,1,1
https://reset-bank-verification.net/6010,40,4,7,0,1,1
